Epoch,Train Loss,Val Loss,Train MAE,Val MAE
1,0.19343960253749717,0.07022845591692363,0.35211812330700676,0.22446413732626858
2,0.11229075343674245,0.01696551209041739,0.26606547838776423,0.10604432059311066
3,0.08694570069888977,0.011634756965531396,0.23367374751889755,0.08460358016881622
4,0.07256579886383145,0.014680432460951704,0.21460747379290906,0.09932288799841865
5,0.0635012869373404,0.009791940953504262,0.20020813130250964,0.07924985287695371
6,0.05690164644789847,0.009765029641283098,0.18949383431220357,0.078156172462246
7,0.053485954761945245,0.008720913073321915,0.18352131328628032,0.07286070016439722
8,0.04597376327851654,0.007013565511442721,0.17044357606504537,0.06554725633135863
9,0.04251634944937652,0.00905137583359043,0.16362816758673907,0.07490879101600467
10,0.03765205647560615,0.007710141412514661,0.15416107788870606,0.06949771327130935
